A	B	C	label
不要总是以为，不合你的道理，就觉着这是不合理。	我的以为是基于我自己的思考和我了解的事实的，以及认同这个观点的也不止我一个。其实你的任何一种想法又何尝不是“你认为”呢？我认为每个个体是独立而不同的，简单粗暴的性别刻板印象阻碍了个体的自由发展和对个体造成自我威胁，以及在社会层面上造成了同质化和效率降低。所以性别刻板印象是不好的。那你认为它合理的信念又从何而来呢？	你可以说，你不喜欢某个做法，某种思想，某种倾向，但你说它不合理，就过分了，因为它是否合理，取决于认同度，取决于普及范围，取决于现实之中它的正面与负面影响（这些都需要大量的工作去确定、考证）。你可以有意见，你可以有观点，但千万不要以为你认为的是真理。以意见为真理，害人害己。	others
所以啊先把自己温柔的淑女啊	这个怎么解释呢性格这事吧不是好改变的只能伪装但是吧本菇凉不屑于这种世俗的欺骗所以单身至今	呵呵那就等待喜欢你这种真性格的男人吧我相信肯定会有的	happy
春晚的主角也不是导演，可是演员如果在直播时突然表演黄段子，导演不会背锅么？你可以说说个黄段子大部分观众也会很开心啊。只能说在中国就是形式主义的。答主明明知道这一点，说自己不想装逼才接的。那就按规定好好演，却又非得表现出自己很有个性，要给学弟学妹留个“传说”不是么？反正他不用付出任何代价。付代价的是下面的系主任。如果系主任一直天怒人怨还能说替天行道。看来也是没有，只是特别体系而已。以别人的背锅完成自己的耍帅，答主还不算装x？	可能是职业原因，老觉得学校里学生的文艺活动就学生办学生笑就好了，老师们就占个座鼓个掌，节目无聊的时候还得琢磨怎么偷偷开溜回去奶孩子。就这事而言，如果是校庆、院庆、有外面记者来报道的，学生这么做就算毕业也要想办法扣档案、记大过。但其实只是一个毕业晚会。系主任安心想整他们，方法多得是，毕业证拿了，档案还在不是。最后一句，在学校那么多年，见过学生自己管晚会的，见过辅导员管的，见过团委书记管的，见过学生处管的，但系主任管晚会，头一遭！	哎  所以我基本不参加任何活动当时啦，不参加也会被辅导员找去谈话说不合群哇。。。。。。学校比外面还官腔的多。现在我毕业工作了，反而很开心。。。公司的活动也没有那么多破事，虽然我还是基本不参加233	others
63%的男人找女友把处女作为第一考虑7成人愿推迟发	那又怎么样男人喜欢处女是他们的事情姑娘们觉得是不是处女无所谓是我们的事情的双方完全没必要统一观念嘛合则来不合则散这事又什么好说的不过都是自家私事罢了ps把姑娘阴道内那层膜拿出来当中讨论还一口一个破鞋的男人	哈哈破鞋这个词很形象啊并且深入人心	happy
我也遇到过，不过说是要我和辑毒大队联系呢	她的心里大概是觉得我会害怕，然后愿意同她私下解决	可能是吧，反正我知道她说要我和辑毒大队联系的时候我是差点去联系了	others
我们团队是做ABTest工具的	所以其实腾讯还是有的是吧 还是其实像作者说的并没有用ab来指导产品迭代？	算法策略类用ABTEST比较多，UI类较少	others
你读书的意义就是用书里的话来知乎里造作	被删了，不是我删的。人身攻击就算了，祝好。	谢谢，读书的意义是生活受到启发，不是照抄照搬过来教训人，陶行知留给后人更不是说做奴隶和坐稳奴隶这种侮辱人的比喻，你说的太“好听”了，怪我人身攻击？就事论事，您能就别的学校禁止露脚踝搬出一大堆“文化道理”，还真是您的造诣高，不过劝你好好理解，安对了地方。	others
男呢就不可以这种户外活动有男呢在多好各种包包有人背各种苦力有人干心情不爽还可以打击哈真是呢	哈哈也是lz没这福气都独自行动较多志同道合者都欢迎哈	有没有计划了去哪里难说我会来额	others
过不下去啊所以昨天晚上到今天一直出于谈崩状态	你跟他坦白的说明了你不喜欢他什么了没	我很明白的跟他说了我说每次都是我很认真的在沟通而他没有我表示很难理解他的真实想法而且我说了我不希望他和我相处时不开心我希望他有什么想法可以直接告诉我然后我说完他就沉默了我以为他沉默一下下会好好考虑该怎么跟我说比较合适结果是无止境的沉默我去	sad
请问一下，只听过公司股权有出资证明，买东西怎么开出资证明？	具体问律师吧。这个我不太清楚，不过听一个法学专业的学姐说的，一方婚前出资购买的房子结婚八年以上才能算夫妻共同财产，否则即使房产证上有女方的名字也不作数的，除非女方付款了，但也会按付款比例折现。	哦，原来你也是听说	others
我也遇到过	只怪当时太年轻啊?	😂	happy
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	哇要不要这么可爱，我完全没抵抗力啊	说我可爱的吗？哈哈	happy
不可能	矮药乃是在安慰自己咩	不想屎	others
也难过啊老纸本来是想和她有以后的尼玛搞成这样我只能一心等毕业了	那你和她办事的时候会不会很痛苦地想象她和另外一个人爱爱的样子和呻吟的声音	不要这样揭伤疤好不好不带这样玩的坟淡她是个很保守的人虽然长得很奔放她跟我的时候是第一次虽然期间跑偏了但也就亲过几次所以我很无力我现在想想当时挽留她的时候好可耻我完全不够矜持啊	sad
五个。而且大连不比沈阳强。	你那是老黄历了，大连无论GDP总量，还是人均GDP还真比沈阳强。	与沈阳一个体量。大连之前比沈阳强。	others
…我专业是这个	啥专业，木有前端专业吧？	信息管理	others
哎哎那lz你打算怎么补呢你每天的工作忙么我想着是找到实习单位以后来补这些知识就怕到时候太忙了根本没办法	工作忙啊所以很多时候只能遇到具体案子的时候就着案子学	哦哦这样啊哎哎谢谢加你友邻啦有什么还要多想你请教啊	happy
服务器只有cpu物理核心的数量，没有线程这种东西，线程是软件编出来的，一台普通电脑想弄出来一亿个线程可以弄出来。。。	"原来你没听说过“hyper threading""……你打开你电脑的任务管理器，看看CPU可用逻辑线程有几个。软件编出来？和我说的是一回事儿么？"	只要我用的操作系统和软件支持你说的超线程就可以啦。。。处理一张车票跟cpu的底层线程差好几个层。。。你要是实在理解不了，你就想，一个售票员即使有两只手，他也只能把票一个一个的卖给排队买票的人。	others
战胜苦难才有意义，不如利用蜜糖让蛇和狼乱作一团吧，看起来或许可笑，但只要你是胜利者，历史可以由你写就。	蛇和狼想要的不是蜜糖	我知道啊，哈哈哈	happy
新疆人在一条繁华的大街上开了个拉面馆，被隔壁的甘肃人打成重伤，去福建人开的医院治疗，不治身亡。新疆人的魂魄脱离身体，飘到了一片白茫茫的地方：难道我是到了天堂了吗？旁边传来声音：想么好事呢，这是河北。魂魄继续飘，眼前还是空荡荡一片：为什么一个人也看不见？广西人和贵州人敲敲他的膝盖说：你往下看！	贵州人不矮，黑点应该是穷或者少数民族，我是贵州人	我在贵州上了四年学，这只是玩笑话，请莫当真	others
我真正的论点你可以后面找一下，核心就是中国人的英语基础是有的，就算初中毕业，会说的英文都比外国人会说的中文多。一句英文的口音和日常交流的口音不一样，是可以练出来的。而且她广告拍出来的几句话，明显就是没找过口语老师辅导，可能自己就练了练，不然这口语老师钱真的白拿了。dior可能也没在意，但事实证明广告下架体现出，dior没有预估到中国人的英语素养，如果可以，他们肯定不愿意下架广告。所以别说dior不在意，他们不在意就不会下架了。	讲真，，我原本都不想回复了，我感觉可以了。你还要和我较真。本来就是屁大点事情。简单就是一个国语女明星英语不好被国人各种嘲！而我刚刚好又喜欢这个女明星，忍不住替她说几句话，其实我也没说撒。。。而你可能是处女座？不能忍受不完美还是咋滴？你就简单一句:赵丽颖英语说的不咋滴！我完全会给你点赞！不会和你扯这么多。你上升的高度境界我可能达不了。我真的没想那么多啊！！！！！唉，希望我没给我家小赵败坏路人缘。如果有言辞令你不舒服的地方，不好意思。	达不到你也别生气哈	others
一般律师这么强势早就死翘翘了，大连这地段律师总体还算弱势，尤其在司法行政机关面前。公司档案还有在档案馆的啊，我一直以为都在工商局呢。	 既然是案子申请法院调取就是了…浪费时间	就大连这地段，申请法院调取，科科	others
我真是理解力不够。笑喷，为了装高雅没有点赞	我都这样了还装矜持，我恨你，哼！	T_T  赞了	others
战神不是阿瑞斯吗，还有战神和爱神哔过？	Mars是Ares的罗马名。战神和美神是兄妹，是情人，还生了个小孩叫丘比特。然而他们并不是夫妻，希腊神话就是这样鬼畜，甚至有一次被他俩偷情，却被美神的正牌老公火神抓了个正着…	罗马明这个记起来的。后面的风流史我很喜欢，哈哈哈哈哈哈	happy
好像是柴静去了一个少年看管所，准备给家长孩子一个演讲，柴静一进教室就问了这几个问题。超爱柴静，冲破内心的蒙昧和偏见，慢慢睁开眼来。	柴静当时就是做杨永信这一期节目 去的杨永信的心理课堂	嗯嗯	others
蝴蝶板蝴蝶雙面反蝴蝶球蝴蝶包偏好弧圈尤喜前衝發球側下擅長反手可惜坐標硬傷仰天長嘆	红双喜板双面硬胶红双喜球无包偏好削球发球侧下反拉尚可正拉拉飞坐标工大静候切磋	最喜虐削球的了哈哈	happy
你不懂技术，然后就敢号称说淘宝腾讯360的负载就比12306要大？我的天，这是“我无知所以我自豪”的节奏么？	呵呵，技术思维局限了你。看来12306秒杀了国内所有的互联网公司的大牛啊，哈哈。	10万tps，不说秒杀国内所有大牛，在国内是顶尖水平无误。	others
反绿，这是我喜欢川普的第二原因。第一嘛，四川人，普通话一般般，说川普。	我不管我不管川帝一定是真心反绿的，说他不是反绿的都是绿教徒该进集中营	无脑川黑？	others
昨天回家乖乖睡觉了今天继续借沙发	为什么不回家	心情不好不想回家	sad
你和层主讨论不在一个层面，他说的是抽象比拟的概念……你的一二三说的都没错，但是都不能驳倒层主的假说。	并且这个抽象比拟不恰当，且具有不可证伪性，换而言之，没有意义	层主的问题其实不是蚂蚁的问题。他的假说我能完全理解，但逻辑其实有问题。那就是蚂蚁+孤岛，其实和孤岛论没区别，或者说他没理解孤岛论。孤岛论和唯一论其实是一样的。这个孤岛是物理乃至因果尺度的孤岛。也就是说大多数文明都是蚂蚁文明被困在孤岛里，就算有个神级文明可以不受限制，但从孤岛定义来讲这个神级文明和孤岛文明压根就没因果关系。	others
答主蛮懂车行的，想请教下，普通上班族19年想入一辆上班开的车，十二万左右，买什么呢？	迈锐宝挺不错的，17年高配买成15.7全部办完。至今未出任何问题，优惠也挺大的。现在好像14就能搞定了。	真的呀，我了解一下，谢谢哈	others
计算化学基本做Python吧owo	话说你们接受CADD分在计算化学下面嘛	计算机辅助药物设计	others
angelababy变残又变美的	不用担心啦过几天就会好的	哈哈哈哈哈好好笑	happy
有木有在科技园的有木有常点蒙自一品餐的	公司楼下木桶三国就上个电梯要加两块钱送餐费	你幸福呀幸福呀幸福呀我苦逼悲情呀	sad
我也害怕……我们学校一个历史老师昨天跑过来跟我说看到我的答案了……再次整个人都懵逼了:)一进我们班就冲我喊“小污师”，大概是把我主页也视奸了orz	小污师w	是小可爱呀	happy
早期教育还是有帮助的，从人的性格塑造上。作者更多从功名利禄上衡量一个人的成败。所以得出早期教育无效的观点。如果换个度量衡，实际培养一个人格健全的人，是早期教育的核心目的。至于是否升官发财、考上名牌大学，不重要，因为在中国的当下，关系终于一切，作者如果引入关系这一变量，会发现，关系才是决定中国孩子是否成功的最大决定因素	所谓教育.不是成绩这个数据.而是「德智体美劳」。这个作者答了一大堆没答到点子上。	您说的对的，作者以成绩为导向，也是当下中国以升官发财衡量教育是否成功的缩影	others
鸟叔在努力，鸟叔想在曼联立地生根，道路是曲折的，前途还要看事态发展！	想要立足，必须得出成绩，想要长远，还得需要培养青训，不能只依赖买人，一旦联赛伤病或许某些主力状态不佳，就得有人能顶上，而不是像某些鸟迷那样，整天赖这个哪个的，很烦	穆里尼奥确实对切尔西的感情很深，下课的时候他都哭了，这跟在其他俱乐部的感情是很不一样的	others
看了一眼时间2015年…我想说的是，四年以后，普通一本毕业5K-6K还是税前，房租基本3000-4000向上…四年前我给你的答案点了赞，我觉得你说的很有道理，四年后我去掉了赞，因为我就是那个即将要面临悲惨生活的社会最低层大学毕业生…精英也是要前期积累，不可能来上海的全是顶层…很多人需要时间，才能知道自己到底适合不适合这个城市…这个过程一定是迷茫且痛苦的，甚至可能一败涂地…我只想抱抱和我一样苦逼的各种漂…如果社会资源分布均匀，谁会愿意背井离乡……都多一点包容吧…毕竟活着已经不易，何况在上海。	加油哦	谢谢你呀～	happy
减肥药就不要吃了我是过午不食瘦的你可以试试3个月30斤早中正常不要吃零食没有反弹	每次决心都很大总是坚持不住了不过这次我一定要坚持下去减肥药我现在都产生抗体了感觉好伤心	减肥药很伤身不要想得减的太快坚持吧	others
他为什么要发信息？他们就一定要靠电磁波？说不定就连维度都不同，人类有外星人这个概念才多少年，政府部门知道会不封锁消息？说不定来的第一批地球上只有无脊椎动物，后来一念之间灭了恐龙，觉得没意思，就走了，所谓的外星人怎么都可能，连大乘期修士也不是没有可能	假设存在外星生命，假设外星生命也好奇，也有所谓的孤单，（看看地球人都干了什么，飞船，唱片等等）那么外星人能压抑自己的好奇，不发信息么。至于信号，会是什么载体？方式？说不定一颗流星划破天际，就是外星人的信息。外星人到底是什么东西？拿人类的思维来揣测有没有道理？	不能拿人类的角度来看，外星人怎么样的都有可能，甚至起源，生存的形式状态，和我们完全不一样，	others
为什么没有“排队2小时，看病5分钟”	这不仅仅是中国吧，外国甚至只要你不死，托你好几月,所以，无需再喷	呵呵	angry
摸爬滚打中	有何感悟	工作的空窗期马上结束了开心的是又开始挣钱了不开心的是挣得不够花对行业前景不甚看好也许会转行未定	sad
没那个条件就推迟两年结婚，或者换一个不需要这么高条件的对象…另外这种情况还要第二个孩子！这家人是怎么考虑的…	在怀孩子的时候，他爸爸身体还非常好。	命运多舛	others
1910年出生的看着你	害怕😨	滑稽	happy
告诉一下嘛真是的	啊？就是那几年生意非常好。各种借贷盖的大厂房就是乘着那个时间还掉的。没四万亿估计会破产	还是不懂，不过谢谢你	others
大哥你去找过工作嚒。你真找过我就不这么觉得了	不好意思，我去年刚找的工作，两个评论你是对那一条的质疑？	好吧 我今年刚找到工作。事实是 研究生比专科生好找工作多哪怕是有经验的专科生。而且工资也不是专科生能企及。 学历不但体现在初始工资上 也决定工资上限。	others
其实山东考生还算幸福的，河南考生更惨，河南只有一所211，山东却有3所985,（其实是5所）。虽然我是山东考生。	看到这个评论有种想哭的感觉呢	哪个评论，我得赞最多的那个？(´･ω･`)	others
没有一块糖到不到哪儿去馒头还含糖呢总不能不吃饭吧	我想说的是卤煮你还是咨询下医生吧	嗯想谢谢你以后不吃了	happy
不能办补习班嘛😓	首先，这是师德红线。随时丢工作第二，你认真看下我的截图。我们周末经常加班。而且每天工作15小时一天，我不知道哪个神人周末还有精力工作。反正我加班之外一直睡觉。本来工作就够煎熬。还办班。	不过您能教重点中学 说明自身条件肯定不错啊  看的时候觉得老师确实辛苦 我妹妹就是河北师范准备当老师的 我还特意把这个答案给她看😭😭😭😭希望她不会对自己未来的日子有所担忧吧	others
繁衍才是最大的利啊，你拒绝是趋利？	各人不一样	你是生物，那繁衍就是利，这是所有生物与生俱来的，你无法控制你的身体不发生性成熟的生理反应，不是你想就是你以为的就是你以为的你以为	others
你的自行车应该不是专业准备，可知你的逃逸速度不会超过50KM/H，可知这个切糕的引力远远小于地球引力，所以你不适用于广义相对论。你接着吹。这个切糕就是比正常地球物质高很多倍罢了。	随便一个理工科都都知道这是在胡扯。。。。再说你说的这一坨也没什么逻辑。。。	我说：这个切糕就是比正常地球物质高很多倍罢了。这很明显是个调侃吧	others
赞！轻餐是指？	所谓的健身餐，少油少盐	哈哈，嗦嘎！	happy
毕竟调剂过来的人比国家线高分他们不怕我在我们学校里也排很前第7但分数不到一样没戏对了你那是什么学校	呜这明显是后妈啊我河北大学啊听了一头雾水有木有我现在只能盼着考的高的都看不上我们学校的专硕了吗	哈哈优秀的孩子后妈也会喜欢的河北大学感觉不错哦去年第一次招生我们的学校都能找到很多的调剂生今年专硕报考的人多了很多所以我觉得不是看不看得上的问题应该很多人会抢的	others
"""被国外企业控股，甚至威胁到国家网络安全""——请正面回答，谢谢。"	亲应该是初中生吧	亲一定不是初中生	others
宋代均窑青花键盘	唐三彩键盘鼠标只要998	包浆好的话那就得好几千了，老祖宗的东西就是好	happy
我感觉图书管理员容易出牛逼人物	还有天龙八部的扫地僧，也是图书管理员	小说人物，你说算就算吧	others
今天更新了S7e的真机实测，10个优点和10个缺点，有兴趣的快来看看吧~	home键小心用，因为是塑料的，容易划伤。。。我订购了s7  等收货中	嗯，我觉得也是	others
然而海关待遇现在还不如97年	是的，每次公务员加工资而海关降工资[捂脸]，只是在此给楼主说明下：没经历过的事，不是一定不存在的。	当年明月曾经说过，他00年考入顺德海关（招五个人，报名1500），试用期第一个月就拿到了六千块，以他的地位没必要瞎说的	others
他姐喜欢教授 又不代表教授也喜欢他姐 打个比方 你妈喜欢你爸 你喜欢你爸 你也跟你妈说了你喜欢你爸 你就不能让你爸妈在一起了？因为你爸妈在一起的话 你妈就太绿茶婊了？	爱情是独占性的。亲情可不是。爱也是分类的。你看过电视剧  你的前半生没？里面男女主没在一起，女二都和他们断绝关系了	没看过 我那个也只是比喻 也没特指是亲情 我只是说你说的这个形容 凭什么他姐喜欢教授 他就不能和教授在一起 就因为他姐喜欢教授？这又不是什么特定条件 他姐喜欢就不能他跟他在一起	others
人家哪里在黑深圳了，人家为深圳贡献了青春你们还觉得自己亏了？呵呵	原来小清新绿茶婊长这样。	嗯	others
求安静看书的好地方	来我这儿吧	好装修好先啦哈哈	happy
首先，帮助需要帮助的人不是义务，你可以选择提供帮助或不提供帮助，但国家不行，国家发放的贫困生补助是发放给贫困生的，如果像你所说有能力就应该拿，那抢劫就是合法的了对吧。其次，你的道德标准就是只要有能力你想拿补助就拿，而不是把它让给更需要的人，这样的道德标准我很难接受。最后，随随便便就说别人圣母婊的人我代替你父母请你记住，你在不同意他人观点的时候，请礼貌并尊重别人。	少年，阅读理解没得过分吧？	请指出错误，孩子	others
 希望轮子哥能看到	轮子哥自从大选之后不上知乎了	他的动态还在我时间线上啊	others
你的见识和真正的世界又何止云泥之别	真正的世界中至少还有不少如阁下的人，也算不上真正的云。我辈若是泥了，至少也是入得了窖的泥，景德镇里面的上等泥，你的见识若是云了，也不过是，人云亦云的云。	那你高兴就好	others
为楼主的观察和表达点赞，这个问题我也慎重思考过，因为我本人就是原先家境不太好，但是这几年见识、经济、气度、学识等的确处于上升期，那么我想平和地表达一下我自己的几点看法：（1）其实从社会和历史的角度，这样的现象很正常，也是一件大体正向的事情，说明社会处于稳定和上升期；（2）有人说这种现象很辛酸，很不公平，我认为，任何问题都是看你站在什么角度和立场，所以平和下来，任何看法都是可以理解的；（3）文中提到，同等条件下，家境平常却很优秀也很努力的人，过几年大多只是成为业务骨干，好像是一件很可惜的事情，其实不尽然，在时间尺度上，这一代通过自己的奋斗，成为业务骨干不也挺好的嘛，下一代平台是不是更好？总不能奢求一步登天吧，又不是陈胜吴广的时代对不对；（4）Last but not least，寒门子弟也不必完全泄气，第三点中提到时间尺度。我特别爱这个词，或者叫时空视野。提这个问题的伙伴真的很有见地，因为比较不仅仅是痛苦的根源，也更是见贤思齐的良好动力，了解同一时代同一年龄段最优秀的人是什么样的真是一件很有勇气和智慧的事情。但是，在时空视野下，如楼主提及的这些优秀的小伙伴，其实不尽然真的称得上伟大或者能做出惊人的贡献，名留青史，这一点从中国和世界史可以轻易地找到证据。所以，从根源上来讲，寒门子弟自有自己的优势。归根到底，一个是概率的衡量，一个是成功标准的拟定。假如你出身寒门，却偏偏想一步登天，那么就必须做好强行跨越阶层的种种痛苦、挫折以及惊人的付出（最后还不一定成功）；而假如像我这样的寒门子弟，愿意更加平和面对生活和人生，既仰望星空也脚踏实地，觉得用几代人改变自己家族在社会中的地位，更加从时空视野下考量，那么在这个阶层固化、竞争多元、技术改变世界的时代背景之下，说不定有机会进则名满江湖，退则与佳人徜徉湖光山色。在回首人生的时候无怨无悔，至于是否名留史册、是否幸福人生，固然有时运的因素，最主要还是取决于我们自己。	回答的好棒啊！	谢谢	happy
致敬 我想你下次仍会伸出援手的	不要押别人登天梯	我只是说出自己的想法。大多善良的人即便因善举受到伤害之后仍会这么做，亲身亲历，给些鼓励而已，与道德绑架无关。	others
还尼玛用过的都知道，你也真是搞笑。。华为和小米有几款同配置手机?	同配置。配置高一点都比不上。好好理解看不懂吓鸡巴喷	要没有敏感词汇我喷死你	angry
射手座的人很2吗啊啊啊啊	射手是最好的	那必须啊哈哈哈哈	happy
在北京工作吗？	咋了	就是问问哦	others
你爷爷你父母没了以后他们房子要上交么？	理论上70年后房产就到期了，虽然现在说自动续期，但没说“无偿自动续期”，以后要不要上交，还真不好说。	信哪个随你咯。真要只能持有70年，那买不买房这事还需要讨论么？	others
可能我缺个博士蓝盆友😂我只是个傻缺铝盆友～	是嘛？猥琐的单身狗博士我能给你介绍不少啊	嘿嘿～在三线小城市谋生～博士不会来滴～	happy
免费刷dropbox到18g	urldyhyjnp1谢谢楼主	lz真是好人昨天一看容量是18g了非常感谢	others
一个三鹿就能证明你的立论逻辑是荒谬的没有证 不等于食品不安全。 你所谓以前没事不代表以后没事 要证才安全这样的话 纯属胡搅蛮缠 强词夺理的话	请问何以证明？证明我哪个立论荒谬？还是就像你一样一言不合就指责对方五毛言论？回复 真正红色卫士3 请你睁开眼睛看清楚，我说的是前 30年没出问题不代表他后面就不出问题，我可没说办了证就不会出问题，既然这样，那到底是谁在强词夺理呢？到底是谁在偷换概念或者强加别人概念呢？再者，办了证至少出了问题你至少能找到他吧，对，就像三鹿一样，至少你能找到负责的或者背锅的回复 真正红色卫士3 ：再给你指条喷路，有证的出了问题你才能喷国家监管不力，没证的你还不那么容易喷，因为你无证经营在先	你辩不过人就开始乱扯了	others
你。。。你住嘴[捂脸]对了，突然想起你昨天的动态[飙泪笑]去搜自己学校的案例了[惊喜]	有何有趣的收获	一地鸡毛，只有一个化粪池爆炸引起的赔偿还有一点。。。嗯。。新意[捂脸]	others
宽了我的红包扔床上看都不想看了	过年木有压岁钱的大龄女青年表示很想要红包啊	都是废纸都是废纸不能买吃的	others
去年林佳德上场比赛也不少才几个进球几个助攻，小马比他强太多了，都快接近20+10+了	有没有感觉用他跟用鲁尼一样？一直用，用到球迷跟媒体都觉得这家伙水平不行，然后再拿下，鸟叔又不用背锅又达到了目的。感觉俱乐部内部有人在挺这几个英格兰人	右后卫暂时没有必需补的必要，看得出门萨鸟叔是打算往右后卫培养的，还有杨可以踢，杨瓦伦这种感觉都不会卖，那右后卫其实不算急需。	others
